object,i_deg,w_deg,node_deg,q_au_1,q_au_2,p_yr,ref,object_name
85P/Boethin,4.295294591,37.61838461,359.3961137,1.134657452,9.24,11.81,23,85P/Boethin
96P/Machholz 1,58.31221424,14.7577484,94.32323631,0.123748853,5.94,5.28,53,96P/Machholz 1
103P/Hartley 2,13.60427243,181.3222858,219.7487451,1.064195154,5.89,6.48,252,103P/Hartley 2
104P/Kowal 2,10.25097305,200.6509533,235.4414959,1.178758464,5.34,5.89,24,104P/Kowal 2
109P/Swift-Tuttle,113.453817,152.9821676,139.3811921,0.959516155,51.22,133.28,32,109P/Swift-Tuttle
122P/de Vico,85.38275311,12.99609194,79.62450069,0.659337336,34.7,74.35,27,122P/de Vico
141P/Machholz 2-A,12.79506334,149.2844343,246.1615904,0.752849878,5.27,5.23,75,141P/Machholz 2-A
141P/Machholz 2-D,12.81184124,149.2918108,246.1336343,0.749005694,5.27,5.22,11,141P/Machholz 2-D
161P/Hartley-IRAS,95.69806815,47.13845023,1.415670065,1.27343339,14.17,21.46,59,161P/Hartley-IRAS
162P/Siding Spring,27.84477766,356.3636966,31.25192352,1.227689026,4.87,5.32,86,162P/Siding Spring
169P/NEAT,11.30444069,217.9760878,176.2204118,0.606980751,4.6,4.2,114,169P/NEAT
177P/Barnard,31.1792882,60.34965167,272.1861491,1.107319662,47.57,120.07,27,177P/Barnard
181P/Shoemaker-Levy 6,16.98117917,333.7988486,37.67945772,1.123593041,6.55,7.52,16,181P/Shoemaker-Levy 6
182P/LONEOS,16.90929665,51.43384257,75.10006349,0.978022459,4.88,5.02,61,182P/LONEOS
185P/Petriew,14.00701804,181.9403336,214.0910177,0.932014336,5.27,5.46,43,185P/Petriew
189P/NEAT,20.3759014,15.39713787,282.144161,1.177562746,4.66,4.99,56,189P/NEAT
197P/LINEAR,25.54272525,188.7289004,66.38824615,1.061393391,4.67,4.85,46,197P/LINEAR
206P/Barnard-Boattini,31.97414822,179.5749493,205.2603247,0.978812133,5.31,5.57,12,206P/Barnard-Boattini
207P/NEAT,10.14995411,271.195627,200.6742212,0.943996196,6.83,7.66,64,207P/NEAT
209P/LINEAR,19.44782985,150.4693054,65.46431318,0.901668822,4.96,5.02,130,209P/LINEAR
210P/Christensen,10.24010578,345.8255534,93.82650012,0.531313913,5.81,5.65,42,210P/Christensen
217P/LINEAR,12.88188017,246.7754682,125.6220203,1.223482234,6.66,7.83,113,217P/LINEAR
222P/LINEAR,5.14614339,345.4248856,7.132384188,0.780761495,4.93,4.83,31,222P/LINEAR
225P/LINEAR,20.70960946,1.329461349,15.49778451,1.192065517,5.9,6.68,42,225P/LINEAR
249P/LINEAR,8.4340952,64.04057029,240.6460863,0.510585571,5.04,4.63,21,249P/LINEAR
252P/LINEAR,10.38105211,343.2826819,190.9962851,1.001368431,5.11,5.34,25,252P/LINEAR
255P/Levy,18.26659348,179.6923294,279.7300367,1.00817764,5.07,5.3,37,255P/Levy
262P/McNaught-Russell,29.07941912,171.1690206,218.0142884,1.280276583,12.59,18.27,39,262P/McNaught-Russell
263P/Gibbs,14.4711765,26.31548584,113.3508576,1.251302076,4.81,5.27,15,263P/Gibbs
273P/Pons-Gambart,136.3989719,20.18419247,320.4310688,0.810431048,64.27,185.64,9,273P/Pons-Gambart
289P/Blanpain,5.931685399,9.066912825,69.33306667,0.998682779,5.16,5.41,4,289P/Blanpain
294P/LINEAR,19.0857983,233.2695182,315.4433207,1.297734649,5.1,5.73,27,294P/LINEAR
300P/Catalina,5.691470921,222.7484631,95.8066034,0.825979778,4.56,4.42,9,300P/Catalina
306P/LINEAR,8.364457777,0.768801631,341.4986017,1.246918534,4.96,5.47,31,306P/LINEAR
317P/WISE,10.64556918,328.7279634,280.9856039,1.198390481,4.65,5.01,9,317P/WISE
C/1906 V1 (Thiele),56.03318114,8.456068198,85.80950568,1.208610867,45.97,114.56,3,C/1906 V1 (Thiele)
C/1921 H1 (Dubiago),22.07043089,96.44867266,68.21958086,1.098349017,13.33,19.38,3,C/1921 H1 (Dubiago)
D/1978 R1 (Haneda-Campos),5.947329619,240.4622187,132.2535138,1.101417705,5.48,5.97,7,D/1978 R1 (Haneda-Campos)
C/1991 L3 (Levy),19.19030997,41.47119826,329.4309837,0.982559471,26.62,51.28,9,C/1991 L3 (Levy)
P/1999 J6 (SOHO),26.6131418,21.97680319,81.61378154,0.049058228,6.15,5.46,6,P/1999 J6 (SOHO)
P/1999 R1 (SOHO),13.67622884,43.68972274,4.932374957,0.057012651,4.99,4.01,3,P/1999 R1 (SOHO)
P/1999 RO28 (LONEOS),8.191041706,219.8588263,148.4502956,1.231758765,5.82,6.62,15,P/1999 RO28 (LONEOS)
C/1999 X3 (SOHO),6.337569475,353.7341335,323.490768,0.047951234,5.18,4.22,5,C/1999 X3 (SOHO)
C/2001 OG108 (LONEOS),80.24505505,116.4195121,10.5552957,0.99404788,25.61,48.5,40,C/2001 OG108 (LONEOS)
